"ind","catg","headline","body","imageurl","readmoreurl","inblockId"
"11","politics","If selling pakoda is job, so is begging: Ex-FM slams PM Modi","Former Finance Minister and Congress leader P Chidambaram has said ""if selling pakodas is a job, then so is begging"". This was in response to PM Narendra Modi's recent remark, ""If a person selling pakodas earns ₹200 at the end of the day, will it be considered employment or not?"" Chidambaram said the NDA government is ""clueless"" about job creation. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/28jan/inshorts_image_1517153654563_929.jpg?resize=400px:*","https://www.indiatoday.in/india/story/if-selling-pakodas-is-a-job-so-is-begging-says-chidambaram-in-jibe-at-modi-bjp-slams-congress-disdain-for-the-poor-1156092-2018-01-28?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"12","politics","10 MLAs of ruling party in Nagaland resign from Assembly","Ten MLAs of the ruling Naga People's Front have resigned from the Nagaland Assembly as well as the party. This comes amidst growing calls to defer Assembly elections scheduled for February 27 until the Naga insurgency issue is resolved. This comes after political parties across Nagaland issued a joint declaration to not contest elections until the issue is resolved.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517329503055_782.jpg?resize=400px:*","https://www.northeasttoday.in/ten-npf-mlas-quit-nagaland-assembly/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"13","politics","Rahul appoints six-member panel to select by-poll candidate","Congress President Rahul Gandhi has appointed a six-member panel for the selection of a candidate for the upcoming by-election in Odisha's Bijepur. This is the first time that such an exercise has been carried out in the party. The move aims to ensure that the selection process is open and transparent and that district and block leaders are also involved.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/28jan/inshorts_image_1517111630130_953.jpg?resize=400px:*","https://www.hindustantimes.com/india-news/in-a-first-rahul-appoints-six-member-panel-to-select-a-by-poll-candidate/story-eE79Btu67Ux7uuGZhEuWDM.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"14","politics","Bengaluru BJP to organise 24-hr 'yagna' for cow protection","The BJP will organise a 24-hour 'Go Raksha Asthayama Yagna' in Bengaluru on February 2, in a bid to promote the protection of cows across India. Cows need to be protected to strengthen the rural economy at the grassroots, BJP Cow Protection Cell officials said. The event will be followed by a 24-hour 'Akhanda Ramayana' programme.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517320893204_984.jpg?resize=400px:*","https://twitter.com/ANI/status/958320918614306816?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"15","politics","Environment laws tweaked to favour industries: Ex-Minister","Former environment minister and Congress MP Jairam Ramesh on Saturday accused the BJP of tweaking the country's environment laws to favour industries. Alleging that PM Narendra Modi did not practise what he preached regarding environment conservation, Ramesh said, ""Ministry of Environment has become a rubber stamp body. In the name of ease of doing business, environment laws are being tweaked.""","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/27jan/inshorts_image_1517052104257_857.jpg?resize=400px:*","https://www.hindustantimes.com/india-news/environment-laws-being-tweaked-in-favour-of-industry-jairam-ramesh/story-nxRnVf3n2tKjMmzDZLnK0H.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"16","politics","Soot-boot ki sarkar: BJP on Rahul Gandhi attending concert","Claiming that the jacket worn by Congress President Rahul Gandhi at a concert in Meghalaya cost nearly ₹65,000, BJP tweeted, ""soot(pun intended!)-boot ki sarkar with 'black' money fleeced from Meghalayan State exchequer by rampant corruption?"" Notably, the concert was organised by Congress as part of the party's campaign for the upcoming Assembly elections in the state.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517379561780_864.jpg?resize=400px:*","http://www.india.com/news/india/rahul-gandhi-attends-rock-concert-in-poll-bound-meghalaya-bjp-claims-he-wore-rs-70000-jacket-2870674/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"17","politics","Senior leaders should be mentors, not tormentors: Jairam","Congress MP Jairam Ramesh has said that the senior leaders in the party should act as ""mentors and not tormentors"". He added that the party should ensure that young leaders take over the party's reins before the 2019 general elections. ""The old people in the Congress...are the people who can advise, guide. They have seen the world,"" he said.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/28jan/inshorts_image_1517130240006_754.jpg?resize=400px:*","https://www.indiatoday.in/pti-feed/story/senior-cong-leaders-should-act-as-mentors-not-tormentors-1155697-2018-01-28?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"18","politics","HC asks EC to state facts behind AAP MLAs' disqualification","The Delhi High Court has asked the Election Commission to state the factual aspects behind its recommendation to disqualify 20 AAP MLAs in the office of profit case. The court asked the EC to file an affidavit after the commission said it wanted to respond to allegations made by some MLAs in their pleas challenging their disqualification.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517331239012_507.jpg?resize=400px:*","https://www.indiatoday.in/india/story/hc-asks-ec-to-state-facts-behind-aap-mlas-disqualification-1157215-2018-01-30?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"19","politics","Tejashwi can't lead like Lalu: RJD leader after resigning","RJD leader Ashok Sinha on Tuesday resigned from the party, stating that jailed RJD supremo Lalu Prasad Yadav's son Tejashwi cannot lead the party like his father. ""RJD has become irrelevant in today's times, better to leave party respectfully than to waste time here,"" he added. Lalu was awarded a 5-year sentence in a fodder scam case earlier this month.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517308140544_479.jpg?resize=400px:*","https://twitter.com/ANI/status/958267395746889728?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"20","politics","Amartya Sen a traitor, got Bharat Ratna due to Sonia: Swamy","BJP MP Subramanian Swamy has called economist Amartya Sen a ""traitor"", adding that he was conferred the Bharat Ratna ""just because he was Left-wing and Sonia Gandhi pressed for it"". Sen, who received the Nobel Prize for Economic Sciences in 1998, was awarded Bharat Ratna, India's highest civilian honour, by former PM AB Vajpayee-led NDA government in 1999.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/28jan/inshorts_image_1517155806724_356.jpg?resize=400px:*","https://www.thequint.com/news/hot-news/subramanian-swamy-calls-amartya-sen-traitor?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"21","politics","Political parties in Nagaland not to contest Assembly polls ","Eleven political parties in Nagaland, including the Congress and BJP, have announced they will not contest the Assembly elections on February 27. The parties have said they would contest the elections only after a political resolution for the insurgency movement in Nagaland. One of the state leaders warned of state-wide bandh if the Election Commission proceeds with the election process. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/29jan/inshorts_image_1517241667141_900.jpg?resize=400px:*","http://www.livemint.com/Politics/wmy3W0KUXxiS48CkwaLf2M/11-political-parties-in-Nagaland-not-to-contest-assembly-pol.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"22","politics","BJP objects to portrait of Tipu Sultan in Delhi Assembly","The Bharatiya Janata Party has objected to the Tipu Sultan's portrait that was unveiled by Delhi Chief Minister Arvind Kejriwal on the occasion of the 69th Republic Day. The CM uncovered the portrait among 70 other personalities, including revolutionaries, freedom fighters, and heroes. The BJP said that the Delhi Assembly should not put up a portrait of a controversial personality.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/27jan/inshorts_image_1517050946487_357.jpg?resize=400px:*","https://www.aninews.in/news/national/general-news/after-karnataka-delhi-hit-by-tipu-sultan-row201801271445110002/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"23","politics","Govt plan to create 75 lakh jobs by March outrageous: Ex-FM","Ex-Finance Minister P Chidambaram has claimed the BJP government's plan to create 75 lakh jobs by March is ""outrageous"" and impossible. He said if India can create 75 lakh jobs in the formal sector, it must have created another 75 lakh jobs in the informal sector. ""China's GDP is five times India's and it creates 150 lakh jobs,"" he added.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517379498593_393.jpg?resize=400px:*","http://www.newindianexpress.com/business/2018/jan/30/creating-75-lakh-jobs-impossible-nails-governments-lies-p-chidambaram-1765775.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"24","politics","Centre has pro-America, anti-China policies: Kerala CM","Kerala Chief Minister Pinarayi Vijayan on Saturday said PM Modi-led Central government is taking a 'pro-America' and 'anti-China' stand in its foreign policies. ""America has its policies according to its own interests which include the stand it took against China. India...decides its foreign policies in accordance with interest of America in every move made by America against China,"" he said.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/28jan/inshorts_image_1517130358056_571.jpg?resize=400px:*","https://www.aninews.in/news/national/general-news/modi-govt-taking-pro-american-anti-china-stand-in-foreign-policies-vijayan201801280328100001/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"25","politics","Backstabbing allies is BJP’s modus operandi: Shiv Sena","Shiv Sena, in its mouthpiece 'Saamana', has said that the Bharatiya Janata Party does not respect its allies and backstabbing them is BJP's ""modus operandi"". The editorial added that the party betrayed Andhra Pradesh CM Chandrababu Naidu the same way it betrayed Shiv Sena in Maharashtra. This comes after Chandrababu Naidu's party announced that it may quit the BJP-led NDA.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/29jan/inshorts_image_1517224286621_530.jpg?resize=400px:*","https://www.hindustantimes.com/mumbai-news/backstabbing-allies-is-bjp-s-modus-operandi-says-shiv-sena/story-eZ1WpV5LO8sJYrHSwc9p1N.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"26","politics","Rahul Gandhi allotted 6th row seat at Republic Day parade","Congress President Rahul Gandhi was allotted a seat in the sixth row at the Republic Day Parade, alongside Ghulam Nabi Azad, the Leader of Opposition in Rajya Sabha. While Congress termed the move ""petty politics"", Rahul said he was ""not bothered"" about where he was sitting. BJP President Amit Shah was allotted a front row seat, along with LK Advani.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/26jan/inshorts_image_1516965189560_877.jpg?resize=400px:*","https://www.indiatoday.in/politics/story/row-over-row-rahul-allotted-row-6-at-r-day-parade-congress-slams-govt-s-petty-politics-1154744-2018-01-26?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"27","politics","Rahul blames BJP for school bus attack over 'Padmaavat'","Condemning the Gurugram school bus attack by a mob protesting against 'Padmaavat', Congress President Rahul Gandhi blamed BJP for using ""hatred and violence"", adding that it's ""setting our entire country on fire"". ""There will never be a cause big enough to justify violence against children,"" Rahul tweeted. The bus was attacked on Wednesday reportedly by Rajput group Karni Sena.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516851573024_987.jpg?resize=400px:*","https://www.aninews.in/news/national/general-news/padmaavat-rahul-condemns-bjp-over-gurugram-school-bus-attack201801250118390001/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"28","politics","BJP leader who wanted Deepika beheaded under house arrest","BJP leader Suraj Pal Amu, who had offered a ₹10-crore reward to anyone who would behead Padmaavat's director Sanjay Leela Bhansali and actress Deepika Padukone, has been put under ""house arrest"" in Gurugram. Haryana DGP BS Sandhu said, ""He was not allowed to go to...MG Road (Gurugram)."" Amu had planned to go there to request people not to watch 'Padmaavat'.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516882714776_783.jpg?resize=400px:*","https://twitter.com/ANI/status/956493985857486849?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"29","politics","Opp'n may seek to impeach CJI Dipak Misra over SC crisis","Stating that the judiciary crisis is not yet resolved, Communist Party of India (Marxist) leader Sitaram Yechury on Tuesday said they are in discussion with other Opposition parties to move an impeachment motion against Chief Justice Dipak Misra. He added that it was time for the executive to play its role and intervene in the dispute between the senior judges. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/23jan/inshorts_image_1516726572379_755.jpg?resize=400px:*","https://twitter.com/ANI/status/955728305411342338?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"30","politics","Karnataka CM calls Amit Shah, Yeddyurappa 'ex-jail birds'","Karnataka CM Siddaramaiah on Friday termed BJP President Amit Shah and BJP's Chief Ministerial candidate for state Assembly elections BS Yeddyurappa as ""former jail birds"". This was in response to Shah's tweet, which claimed that ""corruption"" and ""Siddaramaiah"" were synonyms. While Yeddyurappa was sent to judicial custody in 2011, Shah was arrested in 2010 in the Sohrabuddin Sheikh encounter case.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/26jan/inshorts_image_1516978568644_776.jpg?resize=400px:*","https://www.thenewsminute.com/article/siddaramaiah-mocks-amit-shah-and-yeddyurappa-calling-them-ex-jail-birds-75397?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"31","politics","Don't write letters, contest all seats in Delhi: BJP to AAP","Responding to Delhi Deputy Chief Minister Manish Sisodia's open letter on disqualification of 20 AAP MLAs, BJP's Delhi President Manoj Tiwari asked Sisodia to stop writing letters and contest elections instead. Tiwari also dared AAP to contest elections from all 70 Delhi Assembly seats instead of 20. Sisodia accused the BJP-led Centre of hampering AAP's functioning in the National Capital.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/23jan/inshorts_image_1516697620060_744.jpg?resize=400px:*","https://www.hindustantimes.com/delhi-news/don-t-write-letters-contest-all-70-seats-bjp-responds-to-sisodia-s-open-letter/story-vBjNJfoHLG3Mg6Q4wWVsBO.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"32","politics","BJP using militants to gain power in Tripura: CM Sarkar","Commenting on the reported alliance between the BJP and the Indigenous People's Front of Tripura (IPFT), Tripura CM Manik Sarkar has said that the BJP is using militants to gain power in the state. Sarkar also claimed that the IPFT is the ""mask of the militants"". This comes ahead of the Tripura Assembly polls, which are scheduled for February 18.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516797374042_511.jpg?resize=400px:*","https://www.aninews.in/news/national/general-news/bjp-using-militants-to-gain-power-in-tripura-cm201801240709510004/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"33","politics","Had no role in Lalu's conviction: Bihar CM Nitish Kumar","Stating that the 5-year jail term awarded to RJD chief Lalu Prasad Yadav was a ""judicial matter"", Bihar CM Nitish Kumar on Wednesday said he had no role in the conviction. This comes after Lalu's son Tejashwi alleged that Kumar had conspired against his father. Lalu has been convicted in three of the six fodder scam cases lodged against him.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516810110509_396.jpg?resize=400px:*","https://www.aninews.in/news/national/general-news/fodder-scam-nitish-distances-himself-from-lalus-conviction201801241655420001/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"34","politics","Tejashwi alleges foul play by Nitish after Lalu's conviction","After RJD chief Lalu Prasad Yadav was given a 5-year jail term in the third fodder scam case, his son Tejashwi said the BJP, the RSS, and Bihar CM Nitish Kumar had conspired against Lalu. ""We will approach higher courts against all these verdicts,"" he added. Earlier this month, Lalu was awarded a 3.5-year term in another fodder scam case.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516797393025_224.jpg?resize=400px:*","https://www.aninews.in/news/national/general-news/tejashwi-accuses-bjp-nitish-for-conspiring-against-lalu201801241257010003/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"35","politics","Will complete full term: Maha CM after Sena vows to end ties","After Shiv Sena announced it will be contesting the 2019 Lok Sabha elections alone, Maharashtra CM Devendra Fadnavis on Tuesday said the BJP-led coalition government with Sena will complete its full term. Refusing to comment on Sena's announcement, he said, ""Let's wait. They have been saying many things."" The BJP leader also expressed confidence in securing another term.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/23jan/inshorts_image_1516702863844_842.jpg?resize=400px:*","https://www.aninews.in/news/national/general-news/fadnavis-downplays-senas-claim-of-ending-ties201801231449590001/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"36","politics","Did you get back black money from Switzerland? Rahul asks PM","After Prime Minister Narendra Modi's return from Switzerland, Congress President Rahul Gandhi on Wednesday tweeted, ""Youth in India were wondering if you got any (black money) back with you in your plane"". The recovery of black money from global tax havens, including Switzerland, was one of the promises made by the BJP during the 2014 Lok Sabha elections.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516801856596_795.jpg?resize=400px:*","https://twitter.com/OfficeOfRG/status/956146286226386945?s=17&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"37","politics","Tell Davos why 1% Indians get 73% of its wealth: Rahul to PM","After Prime Minister Narendra Modi addressed the World Economic Forum in Switzerland's Davos, Congress President Rahul Gandhi on Tuesday asked him to explain the economic inequality in India to the audience there. Gandhi cited a survey by international rights group Oxfam that claimed 1% of India's population accounted for 73% of the nation's wealth.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/23jan/inshorts_image_1516716667847_203.jpg?resize=400px:*","https://www.indiatoday.in/india-at-davos-2018/story/at-davos-rahul-gandhi-wanted-pm-modi-to-tell-why-1-of-india-got-73-of-its-wealth-1152321-2018-01-23?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"38","politics","PM Modi has 56-inch chest for Muslims, not Rajputs: Owaisi","Criticising the government over the violent protests against 'Padmaavat', AIMIM President and MP Asaduddin Owaisi on Wednesday said PM Narendra Modi's ""56-inch chest"" was only for the Muslims and not for the Rajputs. Alleging that the BJP was helping groups like Karni Sena become mainstream parties, Owaisi said there is no rule of law in the country. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516884887918_119.jpg?resize=400px:*","https://www.indiatoday.in/india/story/narendra-modi-s-56-inch-chest-only-for-muslims-not-rajputs-says-owaisi-1153933-2018-01-25?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"39","politics","BJP, RSS want Dalit-mukt, Muslim-mukt Bharat: Owaisi","All India Majlis-E-Ittehadul Muslimeen Chief Asaduddin Owaisi has said BJP wants India to be ""Muslim-mukt (Muslim-free)"", while RSS wants a ""Dalit-mukt Bharat"". Owaisi also called for Dalit-Muslim unity to fight against Hindutva ideology. Commenting on the Centre's Triple Talaq bill, Owaisi said, ""The law is nothing but to send Muslim men to jail and leave Muslim women on roads.""","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/23jan/inshorts_image_1516704051356_511.jpg?resize=400px:*","https://www.indiatoday.in/india/story/bjp-rss-want-dalit-muslim-mukt-bharat-says-asaduddin-owaisi-1151986-2018-01-23?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"40","politics","Stop embarrassing India: CPI (M) to PM Modi on Davos speech ","Referring to PM Narendra Modi's speech at the World Economic Forum, Communist Party of India (Marxist) has said he should stop embarrassing the country. The party shared a poster on PM Modi's claims in his speech that 600 crore Indians voted him to power in the 2014 general elections, alongside the 2011 Census which recorded a population of 121 crore.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516807861541_410.jpg?resize=400px:*","https://twitter.com/cpimspeak/status/956095076698021888?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fwww.outlookindia.com%2Fwebsite%2Fstory%2Fstop-embarrassing-the-country-cpim-tells-modi-after-his-6-billion-bjp-voters-fau%2F307308&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
"41","politics","Standup comedian asked to vacate house over political views","Comedian Kunal Kamra has revealed in a Facebook post that he was asked by his landlady in Mumbai to move out of her house due to ""political issues"". He shared a conversation he had with her on WhatsApp wherein she gave him a one-month notice. In his post, Kamra wrote there are consequences to making fun of people in power. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516875046083_319.jpg?resize=400px:*","https://www.thenewsminute.com/article/no-work-and-no-house-stand-comedian-kunal-kamra-doing-political-comedy-75343?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","epoktkmd-1"
